C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_085.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_085.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_085.jpg, 0, 0, 0, 8.202661E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_187.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_187.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_187.jpg, 0, 0, 0, 8.268136E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_293.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_293.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_293.jpg, 0, 0, 0, 8.237032E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_398.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_398.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_398.jpg, 0, 0, 0, 8.35899E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_503.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_503.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_503.jpg, 0, 0, 0, 8.258977E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_608.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_608.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_608.jpg, 0, 0, 0, 8.203529E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_715.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_715.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_715.jpg, 0, 0, 0, 8.221484E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_821.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_821.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_821.jpg, 0, 0, 0, 8.230426E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_09_926.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_09_926.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_09_926.jpg, 0, 0, 0, 8.232996E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_032.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_032.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_032.jpg, 0, 0, 0, 8.286301E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_132.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_132.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_132.jpg, 0, 0, 0, 8.219459E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_236.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_236.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_236.jpg, 0, 0, 0, 8.236977E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_336.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_336.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_336.jpg, 0, 0, 0, 8.210506E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_443.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_443.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_443.jpg, 0, 0, 0, 8.237413E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_549.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_549.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_549.jpg, 0, 0, 0, 8.233527E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_653.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_653.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_653.jpg, 0, 0, 0, 8.233752E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_754.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_754.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_754.jpg, 0, 0, 0, 8.213297E-05
C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\center_2020_01_01_21_27_10_854.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\left_2020_01_01_21_27_10_854.jpg, C:\Users\Claudiu\Desktop\simulator-windows-64\IMG\right_2020_01_01_21_27_10_854.jpg, 0, 0, 0, 8.381953E-05
